,Date,Open,High,Low,Close,Adj_Close,Volume
1394,2005-07-27,54.14,54.14,52.0,52.53,30.3315,599870
1395,2005-07-29,48.53,54.4,48.53,52.58,30.3604,2373800
1396,2005-08-01,52.98,54.0,52.67,53.59,30.9435,1122875
1397,2005-08-02,54.0,56.0,53.95,55.32,31.9425,9183410
1398,2005-08-03,56.0,57.0,55.11,55.78,32.2081,9265455
1399,2005-08-04,57.0,57.0,52.45,55.69,32.1561,2936085
1400,2005-08-05,55.6,55.6,52.97,53.22,30.7299,4372985
1401,2005-08-08,53.62,54.08,51.22,51.97,30.0081,4005680
1402,2005-08-09,52.22,52.99,51.05,52.3,30.1987,2957475
1403,2005-08-10,52.28,52.6,51.8,51.95,29.9966,1327160
1404,2005-08-11,52.2,52.84,51.6,51.95,29.9966,2569405
1405,2005-08-12,52.0,52.77,51.8,52.31,30.2045,3454400
1406,2005-08-16,52.34,52.78,52.0,52.09,30.0774,1800870
1407,2005-08-17,52.74,52.85,52.08,52.53,30.3315,672545
1408,2005-08-18,52.2,53.0,52.01,52.55,30.343,312570
1409,2005-08-19,52.78,52.78,52.05,52.31,30.2045,556755
1410,2005-08-22,53.8,53.8,51.0,51.39,29.6732,618150
1411,2005-08-23,51.8,52.4,49.02,49.97,28.8533,1728480
1412,2005-08-24,50.6,50.95,49.01,49.54,28.605,972340
1413,2005-08-25,49.6,50.18,48.0,49.08,28.3394,2458170
1414,2005-08-26,48.6,50.0,48.6,49.74,28.7205,720515
1415,2005-08-29,49.79,50.1,48.71,49.92,28.8244,3396515
1416,2005-08-30,50.2,50.2,49.8,49.92,28.8244,1232305
1417,2005-08-31,50.4,50.4,49.65,49.93,28.8302,3747845
1418,2005-09-01,50.02,51.0,49.99,50.19,28.9803,1665390
1419,2005-09-02,50.3,52.18,49.43,51.43,29.6963,9548120
1420,2005-09-05,51.0,52.78,51.0,51.84,29.9331,1814065
1421,2005-09-06,52.38,52.38,50.9,52.01,30.0312,600370
1422,2005-09-08,52.0,52.78,52.0,52.59,30.3661,755320
1423,2005-09-09,52.4,53.78,51.8,53.42,30.8454,1495005
1424,2005-09-12,53.7,54.4,53.4,54.21,31.3015,1428075
1425,2005-09-13,54.06,54.89,53.82,54.51,31.4748,1186130
1426,2005-09-14,54.4,54.8,53.62,54.03,31.1976,1820810
1427,2005-09-15,50.53,54.59,50.53,54.2,31.2958,296455
1428,2005-09-16,50.65,54.4,50.65,53.34,30.7992,577000
1429,2005-09-19,53.0,54.13,53.0,53.74,31.0302,614740
1430,2005-09-20,53.53,56.6,52.82,56.05,32.364,2121295
1431,2005-09-21,56.4,58.49,54.2,57.29,33.08,3318940
1432,2005-09-22,57.7,57.8,54.07,54.66,31.5614,1959090
1433,2005-09-23,54.01,55.8,52.81,53.51,30.8973,802575
1434,2005-09-26,57.76,57.95,53.51,54.78,31.6307,1066845
1435,2005-09-27,55.76,56.7,54.61,55.77,32.2023,1544300
1436,2005-09-28,56.98,56.98,54.5,54.85,31.6711,1929725
1437,2005-09-29,55.2,55.34,51.8,52.72,30.4412,2271355
1438,2005-09-30,55.0,55.0,52.3,53.16,30.6953,946800
1439,2005-10-03,53.14,53.39,52.1,52.31,30.2045,1656675
1440,2005-10-04,53.0,53.6,52.4,53.28,30.7646,928965
1441,2005-10-05,52.94,52.94,51.4,51.65,29.8234,1349025
1442,2005-10-06,51.8,52.2,49.78,50.64,29.2402,2779295
1443,2005-10-07,51.6,51.6,49.85,51.28,29.6097,1424705
1444,2005-10-10,51.8,52.38,50.51,52.1,30.0832,1055885
1445,2005-10-11,52.4,52.41,50.82,51.77,29.8927,1118685
1446,2005-10-13,51.7,52.0,50.26,50.67,29.2575,2086810
1447,2005-10-14,51.62,52.56,49.64,51.52,29.7483,3916475
1448,2005-10-17,52.26,52.96,48.65,50.56,29.194,1048730
1449,2005-10-18,50.59,51.6,50.01,50.41,29.1074,994760
1450,2005-10-19,50.0,50.54,49.52,50.11,28.9341,1561455
1451,2005-10-20,50.2,50.99,45.2,47.24,27.277,3193125
1452,2005-10-21,48.0,48.4,46.03,46.97,27.1211,2317645
1453,2005-10-24,47.5,47.95,45.5,45.84,26.4686,1492325
1454,2005-10-25,46.1,46.88,45.01,46.0,26.561,2143475
1455,2005-10-26,46.1,46.35,45.01,45.57,26.3127,1915950
1456,2005-10-27,45.02,45.6,43.87,44.15,25.4928,2101990
1457,2005-10-28,44.0,46.02,44.0,45.66,26.3647,1477435
1458,2005-10-31,44.9,48.18,44.9,47.85,27.6292,1046705
1459,2005-11-02,46.02,47.97,46.02,47.79,27.5946,220420
1460,2005-11-07,48.0,48.2,46.5,47.43,27.3867,1934530
1461,2005-11-08,46.9,48.0,46.9,47.71,27.5484,740265
1462,2005-11-09,47.71,48.7,47.4,47.81,27.6061,1571330
1463,2005-11-10,48.4,48.4,47.55,47.64,27.5079,717460
1464,2005-11-11,47.64,48.84,47.64,48.06,27.7505,1010600
1465,2005-11-14,48.62,49.6,48.39,49.06,28.3279,1142895
1466,2005-11-16,49.2,50.86,48.8,50.25,29.015,2643965
1467,2005-11-17,51.74,51.74,49.84,51.06,29.4827,4235835
1468,2005-11-18,51.4,51.5,49.52,50.02,28.8822,953300
1469,2005-11-21,50.16,50.16,48.56,48.97,28.2759,1029925
1470,2005-11-22,48.76,49.19,47.85,48.01,27.7216,755145
1471,2005-11-23,48.04,49.94,47.5,49.73,28.7147,1348040
1472,2005-11-24,49.86,50.3,48.86,49.18,28.3972,1315355
1473,2005-11-25,49.18,51.98,49.18,51.51,29.7425,1187345
1474,2005-11-28,51.6,52.2,51.0,52.03,30.0428,1199655
1475,2005-11-29,52.0,54.0,51.27,53.18,30.7068,2358570
1476,2005-11-30,53.62,54.95,53.56,54.25,31.3246,3095435
1477,2005-12-01,54.1,56.34,53.81,55.93,32.2947,2120415
1478,2005-12-02,56.0,56.8,55.66,56.57,32.6642,1875975
1479,2005-12-05,56.6,59.16,56.51,58.8,33.9519,2032310
1480,2005-12-06,57.98,60.0,57.8,58.01,33.4957,1495590
1481,2005-12-07,58.0,58.8,57.1,58.33,33.6805,907100
1482,2005-12-08,58.3,58.6,57.8,58.33,33.6805,466210
1483,2005-12-09,57.8,58.4,55.0,57.21,33.0338,377730
1484,2005-12-12,57.5,58.6,56.5,56.78,32.7855,415165
1485,2005-12-13,57.1,58.8,56.7,57.68,33.3052,1103720
1486,2005-12-14,58.0,62.18,58.0,61.67,35.609,4282875
1487,2005-12-15,61.38,61.8,56.55,57.5,33.2012,1737285
1488,2005-12-16,57.8,59.0,57.0,57.18,33.0165,1106545
1489,2005-12-19,58.0,59.8,57.71,59.27,34.2233,1242350
1490,2005-12-20,59.27,59.71,57.83,58.15,33.5765,677340
1491,2005-12-21,59.34,59.49,57.55,58.43,33.7382,1465185
1492,2005-12-22,58.49,60.8,58.02,59.51,34.3618,1794540
1493,2005-12-23,59.61,60.6,59.42,60.01,34.6505,595705
1494,2005-12-26,60.01,60.01,56.3,57.4,33.1435,865705
1495,2005-12-27,56.8,61.4,55.2,60.32,34.8295,768925
1496,2005-12-28,60.32,61.4,59.05,59.36,34.2752,580740
1497,2005-12-29,60.0,60.1,55.8,56.35,32.5372,3307410
1498,2005-12-30,56.8,57.96,56.64,57.39,33.1377,1254230
1499,2006-01-02,58.4,58.7,57.3,57.66,33.2936,715590
1500,2006-01-03,58.04,58.76,57.7,57.92,33.4437,419965
1501,2006-01-04,58.6,59.75,58.2,59.3,34.2406,1448085
