,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV
4248,2017-04-20,496.15,504.4,487.0,488.0,483.252,8153829,15.0989,15.4883,-97.0060,0.3494,1.1983,-0.8489,41.6326,14.8606,-160.5142,112548266.7302,1224284996.0000
4249,2017-04-21,492.0,497.0,483.3,486.25,481.519,10301245,16.1247,16.8518,-92.0485,-0.5610,0.8464,-1.4075,37.9034,15.6832,-148.9355,106683338.4816,1213983751.0000
4250,2017-04-24,487.95,503.6,481.0,498.65,493.7984,14182302,19.5258,26.2372,-55.2031,-1.5909,0.3590,-1.9499,34.5478,14.6091,-71.6324,114653025.7516,1228166053.0000
4251,2017-04-25,501.0,520.15,495.1,516.4,511.3757,13778124,32.6992,55.0087,-10.1523,-1.3387,0.0194,-1.3581,50.3006,15.7093,80.6555,124305965.8894,1241944177.0000
4252,2017-04-26,519.5,525.0,508.05,517.15,512.1184,11516903,53.2741,78.5763,-17.8409,0.3499,0.0855,0.2644,63.9624,17.3436,130.0596,125155335.1857,1253461080.0000
4253,2017-04-27,524.0,524.0,503.25,506.6,501.6711,22108735,70.1686,76.9208,-41.8182,2.0279,0.4740,1.5539,66.4546,17.6664,77.9776,110185337.0437,1231352345.0000
4254,2017-04-28,508.3,515.3,504.5,509.65,504.6913,9287281,74.6607,68.4849,-34.8864,2.0671,0.7926,1.2745,52.4054,17.9569,60.6242,109755369.8530,1240639626.0000
4255,2017-05-02,509.5,513.1,501.6,505.55,500.6312,7539462,66.0514,52.7484,-44.2046,2.1699,1.0681,1.1018,53.2448,17.4841,31.0870,107395180.3537,1233100164.0000
4256,2017-05-03,506.9,507.35,500.0,500.85,495.977,7220815,51.9070,34.4878,-54.8863,2.0184,1.2581,0.7602,51.0761,16.6510,-2.7917,101844496.2556,1225879349.0000
4257,2017-05-04,504.95,521.8,502.0,518.85,513.8018,15719994,42.0667,38.9638,-13.9773,1.7211,1.3507,0.3703,49.3994,18.3117,77.5652,112880227.7258,1241599343.0000
4258,2017-05-05,522.0,522.4,502.5,504.5,499.5915,9440005,35.8206,34.0103,-46.5909,2.8286,1.6463,1.1823,61.6351,19.8869,32.6428,105337708.8795,1232159338.0000
4259,2017-05-08,509.0,513.7,503.3,511.2,506.2263,6834456,40.8392,49.5436,-31.3636,2.6271,1.8425,0.7846,51.1555,21.3047,12.6853,108886376.3083,1238993794.0000
4260,2017-05-09,513.0,521.25,510.55,518.2,513.1582,7872272,44.6668,50.4464,-22.7424,2.7584,2.0256,0.7327,53.8388,23.6235,124.5053,112270740.2325,1246866066.0000
4261,2017-05-10,519.0,527.55,515.7,526.35,521.2288,8812464,58.5026,75.5177,-4.3558,3.3084,2.2822,1.0262,57.7108,26.4202,164.4766,119298379.9342,1255678530.0000
4262,2017-05-11,525.2,534.6,513.45,516.9,511.8709,8962710,66.5895,73.8044,-51.1560,4.1962,2.6650,1.5312,61.4257,29.6013,118.8083,113259689.7626,1246715820.0000
4263,2017-05-12,516.7,516.85,499.2,503.0,498.106,9934430,66.5404,50.2992,-89.2656,4.1660,2.9652,1.2008,54.1761,28.7374,-69.1920,107602969.8799,1236781390.0000
4264,2017-05-15,505.0,508.5,498.4,500.1,495.2343,8806756,48.0668,20.0968,-95.3038,3.1614,3.0044,0.1570,45.8924,27.7847,-98.1271,101760883.5803,1227974634.0000
4265,2017-05-16,502.1,504.5,493.5,501.5,496.6207,8610492,27.3426,11.6318,-80.5353,2.1070,2.8250,-0.7179,44.0379,25.8580,-108.0878,105674743.5803,1236585126.0000
4266,2017-05-17,501.35,506.75,498.5,502.8,497.908,6443135,15.7749,15.5962,-77.3723,1.1971,2.4994,-1.3023,43.5324,24.5242,-79.4271,105948069.9579,1243028261.0000
4267,2017-05-18,498.0,499.1,490.25,492.0,487.2131,9227022,14.4839,16.2238,-96.0541,0.2033,2.0402,-1.8369,41.1862,22.5224,-130.1643,100370150.2297,1233801239.0000
4268,2017-05-19,495.75,503.85,494.2,501.7,496.8187,7611430,20.8229,30.6488,-74.1826,-0.7571,1.4807,-2.2378,39.5937,20.7419,-62.9465,104589965.9279,1241412669.0000
4269,2017-05-22,504.0,507.45,499.5,502.3,497.4129,4970982,31.1105,46.4589,-72.8298,-0.8428,1.0160,-1.8588,47.8144,19.7987,-31.6940,103120535.8622,1246383651.0000
4270,2017-05-23,502.25,506.1,495.2,500.6,495.7294,7549551,47.1439,64.3241,-76.6629,-1.0400,0.6048,-1.6448,46.3284,18.0138,-44.6846,103051269.7326,1238834100.0000
4271,2017-05-24,503.0,505.0,495.0,499.3,494.442,7271148,57.2442,60.9495,-79.5942,-1.1228,0.2593,-1.3821,47.1111,16.3632,-48.8776,102033291.5618,1231562952.0000
4272,2017-05-25,502.0,509.9,495.85,507.45,502.5128,9157557,63.6674,65.7285,-35.3382,-1.2546,-0.0435,-1.2111,46.1148,15.9156,83.5230,107997130.5581,1240720509.0000
