,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV,Axis Bank,isPartial,SMA3_GoogleTrends,EMA3_GoogleTrends,SMA5_GoogleTrends,EMA5_GoogleTrends
2390,2016-11-24,479.7,479.7,466.05,468.2,463.6447,8199524,40.3324,56.6576,-81.7281,-13.7026,-15.5252,1.8226,44.9755,42.3155,-60.7280,96339765.2138,1149622083.0000,58.0,False,61.66666666666666,61.97700825891495,56.60000000000001,53.60665660258457
2391,2016-11-25,472.25,473.0,465.3,471.2,466.6155,4674455,53.9391,60.1005,-75.9378,-13.4172,-15.1036,1.6864,41.1771,42.1741,-71.0859,98828778.7089,1154296538.0000,60.0,False,61.33333333333333,62.42449057489693,62.2,62.93691651240198
2392,2016-11-28,464.0,477.6,461.15,472.9,468.2989,8268812,56.2210,51.9048,-66.9633,-13.6987,-14.8226,1.1239,37.3009,40.9897,-52.8192,102372546.6632,1162565350.0000,64.0,False,43.33333333333333,39.97174245202421,49.60000000000001,51.05471101035361
2393,2016-11-29,473.0,475.6,463.0,464.65,460.1292,7612624,51.8508,43.5470,-77.4744,-13.0453,-14.4672,1.4219,43.7223,39.9238,-86.6325,96753696.9399,1154952726.0000,64.0,False,51.666666666666664,45.260225530940794,50.8,49.76637675356094
2394,2016-11-30,465.0,471.0,462.05,469.85,465.2786,13575386,45.5804,41.2892,-55.2182,-13.0228,-14.1783,1.1555,39.7060,39.0953,-79.3197,106840459.1374,1168528112.0000,73.0,False,67.0,65.67691350903263,53.4,48.34242705553402
2395,2016-12-01,474.0,474.45,464.3,466.05,461.5156,7451748,38.6168,31.0142,-67.3469,-12.1389,-13.7704,1.6315,45.9161,37.4228,-57.3434,101958273.3375,1161076364.0000,76.0,False,71.0,69.00064765017666,60.80000000000001,55.21579057165893
2396,2016-12-02,466.9,466.9,458.0,459.95,455.4749,6381901,33.7274,28.8788,-92.0570,-11.8744,-13.3912,1.5168,42.1140,36.8879,-195.3887,98372954.7920,1154694463.0000,69.0,False,72.66666666666666,73.1762927642521,69.2,68.0199226435075
2397,2016-12-05,457.7,464.7,455.8,460.75,456.2671,4995436,27.1573,21.5788,-81.4953,-12.2657,-13.1661,0.9004,37.6280,36.7207,-164.5415,98934238.2222,1159689899.0000,70.0,False,54.666666666666664,54.07542870891467,61.800000000000004,64.50791694833848
2398,2016-12-06,461.8,463.2,454.35,455.95,451.5139,5465618,21.5869,14.3031,-94.3262,-12.1055,-12.9540,0.8485,40.7530,36.7824,-143.3857,95444894.9488,1154224281.0000,67.0,False,56.66666666666666,50.70125436126325,60.0,60.21741675721752
2399,2016-12-07,457.85,457.85,441.25,447.1,442.7499,7558363,17.5807,16.8603,-84.7854,-12.1571,-12.7946,0.6375,38.6785,38.3888,-180.1434,93213815.4329,1146665918.0000,74.0,False,70.33333333333333,69.82370723574789,61.0,58.29319351084848
2400,2016-12-08,449.9,452.85,447.4,449.35,444.9781,7629221,16.7389,19.0532,-77.7166,-12.6932,-12.7743,0.0811,34.7256,39.8346,-125.9109,91044058.5591,1154295139.0000,70.0,False,70.33333333333333,69.70934236970703,62.8,58.5508481836368
2401,2016-12-09,451.7,458.0,445.55,456.4,451.9594,7780448,24.6162,37.9350,-58.3219,-12.8249,-12.7845,-0.0405,36.3618,39.4967,-73.9444,96824707.1239,1162075587.0000,69.0,False,71.0,71.83959784099676,70.0,69.9137645407701
2402,2016-12-12,445.0,452.0,444.1,445.1,440.7694,6849079,31.6321,37.9081,-88.7918,-13.3165,-12.8909,-0.4256,32.9463,39.3988,-108.2607,91709573.4915,1155226508.0000,100.0,False,59.99999999999999,51.77727690956232,63.8,63.27040133847973
2403,2016-12-13,445.8,454.45,442.3,452.95,448.543,8404874,42.1695,50.6654,-64.7590,-13.4860,-13.0099,-0.4761,33.7716,38.5151,-65.4373,98039174.0599,1163631382.0000,77.0,False,71.33333333333331,63.8062897292993,65.2,62.15737934076001
2404,2016-12-14,454.65,469.8,454.0,467.2,462.6544,12775149,49.2952,59.3121,-21.8373,-12.7592,-12.9598,0.2005,42.4747,35.3368,80.5121,106609879.2595,1176406531.0000,75.0,False,84.0,88.27640154782836,66.4,60.89820549929166
2405,2016-12-15,459.1,479.4,459.1,478.1,473.4483,18021627,65.2028,85.6308,-3.4076,-11.6894,-12.7057,1.0163,46.4092,34.0209,156.9517,122323337.5217,1194428158.0000,76.0,False,76.0,76.19928450533715,73.0,69.74542465798723
2406,2016-12-16,479.5,480.7,468.7,472.8,468.1999,20477361,77.9219,88.8229,-20.0254,-9.0906,-11.9827,2.8921,60.2557,33.0259,137.5368,115838757.9622,1173950797.0000,70.0,False,73.66666666666666,74.37557726958926,79.6,82.80963142488551
2407,2016-12-19,469.5,472.75,466.45,467.6,463.0505,3735250,85.0188,80.6028,-33.2066,-7.7487,-11.1359,3.3872,52.8222,31.5762,77.4832,113467166.1433,1170215547.0000,74.0,False,52.666666666666664,49.95520419659868,60.8,63.366780511642894
2408,2016-12-20,469.0,469.7,460.45,461.65,457.1584,4836019,75.8046,57.9880,-48.2890,-6.6489,-10.2385,3.5896,52.4626,28.8861,33.8243,109885879.1977,1165379528.0000,53.0,False,52.99999999999999,48.815025387919725,56.199999999999996,57.1554584360722
2409,2016-12-21,463.55,465.8,455.1,457.7,453.2468,4454408,57.8295,34.8978,-59.8958,-6.1462,-9.4200,3.2738,48.4670,26.6163,-5.7349,107596238.8630,1160925120.0000,57.0,False,61.33333333333333,64.38138310507213,53.6,52.02462275744631
2410,2016-12-22,455.8,455.8,445.05,447.55,443.1956,6540181,36.0531,15.2735,-86.3281,-6.3005,-8.7961,2.4956,43.2611,26.2437,-85.7448,104098002.5142,1154384939.0000,59.0,False,56.33333333333333,55.34672588222908,55.0,52.829971312649846
2411,2016-12-23,448.0,449.35,436.0,438.1,433.8375,9018273,19.2663,7.6277,-95.3020,-6.9719,-8.4313,1.4594,38.6220,27.0744,-122.9188,97916945.8285,1145366666.0000,48.0,False,54.666666666666664,55.93747826240437,58.20000000000001,60.57102417434143
2412,2016-12-26,435.1,435.85,427.0,432.0,427.7968,4494204,10.3489,8.1455,-90.6890,-8.4475,-8.4345,-0.0130,32.2642,28.7590,-149.3409,98500934.9958,1140872462.0000,58.0,False,35.666666666666664,31.83790950742025,42.800000000000004,44.91919115642753
2413,2016-12-27,431.1,438.9,431.1,437.65,433.3919,4694669,10.2436,14.9574,-80.1676,-9.8264,-8.7129,-1.1135,30.5325,29.5390,-101.7290,101690900.0783,1145567131.0000,56.0,False,44.33333333333333,37.8746173023778,42.2,40.5777313860772
2414,2016-12-28,439.7,448.25,438.0,440.05,435.7685,5072550,17.0866,28.1568,-75.6984,-10.1087,-8.9921,-1.1167,38.4271,28.2148,-56.7634,98647358.2011,1150639681.0000,54.0,False,56.0,56.64031333565961,43.400000000000006,39.15392279274786
2415,2016-12-29,442.0,445.9,437.7,444.25,439.9277,6082573,31.0317,49.9807,-67.8771,-10.0313,-9.1999,-0.8314,40.4385,27.0671,-44.1635,102282069.9852,1156722254.0000,51.0,False,53.666666666666664,54.453989612433766,47.60000000000001,44.148934727065026
2416,2016-12-30,445.5,452.2,445.05,449.95,445.5722,4616817,49.7753,71.1884,-49.8360,-9.5770,-9.2753,-0.3017,43.5561,24.7576,4.3503,103993207.7176,1161339071.0000,53.0,False,52.666666666666664,52.892088619618654,54.40000000000001,55.169595999720315
2417,2017-01-02,451.4,452.0,441.25,447.75,443.3936,3054394,67.8522,82.3875,-51.4052,-8.6414,-9.1485,0.5072,48.5958,23.3348,6.7284,104632499.4850,1158284677.0000,68.0,False,45.666666666666664,42.23647851809456,48.2,48.21475571011503
2418,2017-01-03,449.6,457.8,443.5,455.25,450.8206,4621782,79.7803,85.7649,-27.1907,-7.9534,-8.9095,0.9561,47.1682,21.0955,74.3195,107605960.0125,1162906459.0000,58.0,False,51.0,45.37106673445971,49.6,48.22203060636314
2419,2017-01-04,455.0,460.0,451.95,453.1,448.6916,3703873,82.1932,78.4272,-20.9091,-6.8930,-8.5062,1.6132,51.8803,19.4952,116.8633,104960332.4973,1159202586.0000,57.0,False,61.0,62.878480187330695,50.4,47.321168753419784
2420,2017-01-05,454.6,463.9,453.25,458.05,453.5934,5829373,80.3467,76.8480,-15.8537,-6.0156,-8.0081,1.9925,51.5022,18.7786,125.8825,104385595.4055,1165031959.0000,54.0,False,56.33333333333333,56.94750922137811,52.8,50.201124610892506
2421,2017-01-06,459.7,461.8,454.05,455.2,450.7711,4431212,74.5162,68.2733,-23.5772,-4.8527,-7.3770,2.5243,56.0405,18.1337,91.3217,101269480.2182,1160600747.0000,56.0,False,55.666666666666664,55.89208861961865,58.60000000000001,60.09830468491626
2422,2017-01-09,456.9,459.35,451.55,452.75,448.345,2690456,68.4965,60.3683,-33.9939,-4.1097,-6.7235,2.6138,53.0142,16.9140,56.9330,99406863.2015,1157910291.0000,61.0,False,46.0,44.98405558395886,49.6,50.57510565927409
2423,2017-01-10,455.5,456.05,424.4,447.35,442.9975,9436151,61.2176,55.0113,-41.8987,-3.5924,-6.0973,2.5049,51.4701,18.9418,-92.4079,103655376.9558,1148474140.0000,63.0,False,50.33333333333333,44.152314150559455,51.400000000000006,50.628805130800586
2424,2017-01-11,451.85,457.55,448.2,453.6,449.1867,5678047,58.1675,59.1228,-26.0759,-3.4374,-5.5653,2.1280,47.4652,20.4324,27.9880,104535939.2468,1154152187.0000,56.0,False,59.99999999999999,60.68277315530776,51.400000000000006,49.103249269965154
2425,2017-01-12,454.2,461.4,452.6,455.2,450.7711,5106342,61.8645,71.4595,-22.0253,-3.0893,-5.0701,1.9809,50.2353,20.9037,66.7877,102446992.2337,1159258529.0000,54.0,False,57.666666666666664,59.17271529093789,52.2,49.304752165207596
2426,2017-01-13,457.0,475.2,455.2,472.8,468.1999,12693510,71.4777,83.8509,-4.7245,-2.5580,-4.5677,2.0097,53.4824,18.8728,195.7086,112094029.3693,1171952039.0000,51.0,False,53.666666666666664,54.453989612433766,57.000000000000014,58.37708606308125
2427,2017-01-16,472.5,480.5,468.3,477.25,472.6066,7430300,81.9740,90.6118,-5.7932,-0.8761,-3.8294,2.9533,66.8050,17.8470,202.7915,115565566.8697,1179382339.0000,57.0,False,35.33333333333333,31.253016773520095,42.2,43.896178883226604
2428,2017-01-17,477.3,488.2,476.95,487.2,482.4598,11331156,90.0411,95.6608,-1.5674,0.8345,-2.8966,3.7311,69.7828,17.9770,171.9790,124882295.1363,1190713495.0000,50.0,False,42.666666666666664,37.46243985941552,41.4,40.57023398539101
2429,2017-01-18,487.15,491.7,483.25,488.5,483.7471,8789347,93.5934,94.5075,-4.7548,2.9510,-1.7271,4.6781,74.9138,18.5386,133.5327,127014606.4133,1199502842.0000,57.0,False,54.666666666666664,54.84962879997051,42.6,38.29221968964449
